anon_user_id,course_number,title,grade,date_set,course_section_id,class_start_time,class_end_time,bachelors_grad_year,bachelors_major_category,masters_degree,age,consulting_job,finance_job,marketing_job,entrepreneurship_job,non_profit_job,tech_job,corporate_job,consulting_intern,finance_intern,marketing_intern,entrepreneurship_intern,non_profit_intern,tech_intern,corporate_intern,citizenship_country,asset_management_sales_trading,business_analytics,business_development_growth,b2b_marketing,corporate_finance_investment_banking,corporate_innovation,entrepreneurship,global_business,innovation_for_sustainability,market_analytics,marketing,strategy_consulting,supply_chain_management
7634,7600,Data Analysis and Optimization,HP,FY Elective,6915,8:00:00 AM,9:25:00 AM,2010,Business Administration,0,25,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,USA,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
7634,7602,Global Financial Markets,SP,Early Week,7289,2:45:00 PM,4:10:00 PM,2010,Business Administration,0,25,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,USA,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
7634,7603,Valuation in Financial Markets,DP,Late Week,7793,10:00:00 AM,11:25:00 AM,2010,Business Administration,0,25,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,USA,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
6408,7600,Data Analysis and Optimization,SP,FY Elective,6915,8:00:00 AM,9:25:00 AM,2011,Accounting,0,27,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,USA,\N,\N,\N,1,\N,\N,\N,\N,\N,\N,\N,\N,\N
2224,7620,Interpersonal Communications,SP,Late Week,7222,10:00:00 AM,11:25:00 AM,2011,Industrial Engineering,0,27,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,Korea (South),\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
7479,7602,Global Financial Markets,HP,Early Week,7289,2:45:00 PM,4:10:00 PM,2010,Finance,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,\N,\N,\N,\N,1,\N,\N,\N,\N,\N,\N,\N,\N
7479,7603,Valuation in Financial Markets,HP,FY Elective,6897,8:00:00 AM,9:25:00 AM,2010,Finance,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,\N,\N,\N,\N,1,\N,\N,\N,\N,\N,\N,\N,\N
3173,7602,Global Financial Markets,HP,FY Elective,7743,11:45:00 AM,1:10:00 PM,2011,Business Administration,0,28,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,Ghana,\N,\N,\N,\N,1,\N,\N,\N,\N,\N,\N,\N,\N
3173,7603,Valuation in Financial Markets,SP,Late Week,7793,10:00:00 AM,11:25:00 AM,2011,Business Administration,0,28,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,Ghana,\N,\N,\N,\N,1,\N,\N,\N,\N,\N,\N,\N,\N
8539,7600,Data Analysis and Optimization,SP,FY Elective,7758,8:00:00 AM,9:25:00 AM,2011,Other,0,24,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,USA,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
8539,7603,Valuation in Financial Markets,SP,Late Week,7792,8:00:00 AM,9:25:00 AM,2011,Other,0,24,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,USA,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
6311,7603,Valuation in Financial Markets,LP,FY Elective,7745,11:45:00 AM,1:10:00 PM,2011,Other,0,24,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,USA,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
8645,7600,Data Analysis and Optimization,SP,FY Elective,7758,8:00:00 AM,9:25:00 AM,2010,Other,0,24,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,USA,\N,\N,\N,\N,\N,\N,1,\N,\N,\N,\N,\N,\N
8645,7602,Global Financial Markets,HP,Early Week,7920,2:45:00 PM,4:10:00 PM,2010,Other,0,24,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,USA,\N,\N,\N,\N,\N,\N,1,\N,\N,\N,\N,\N,\N
8645,7603,Valuation in Financial Markets,SP,Late Week,7793,10:00:00 AM,11:25:00 AM,2010,Other,0,24,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,USA,\N,\N,\N,\N,\N,\N,1,\N,\N,\N,\N,\N,\N
8645,7620,Interpersonal Communications,SP,Late Week,7917,10:00:00 AM,11:25:00 AM,2010,Other,0,24,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,USA,\N,\N,\N,\N,\N,\N,1,\N,\N,\N,\N,\N,\N
5132,7600,Data Analysis and Optimization,DP,FY Elective,7758,8:00:00 AM,9:25:00 AM,2010,Accounting,0,24,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,Canada,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
5132,7620,Interpersonal Communications,HP,Late Week,7917,10:00:00 AM,11:25:00 AM,2010,Accounting,0,24,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,Canada,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
5255,7602,Global Financial Markets,LP,FY Elective,7742,10:00:00 AM,11:25:00 AM,2011,Other,0,28,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,USA,1,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
5255,7603,Valuation in Financial Markets,SP,FY Elective,7745,11:45:00 AM,1:10:00 PM,2011,Other,0,28,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,USA,1,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
7571,7600,Data Analysis and Optimization,HP,FY Elective,7759,11:45:00 AM,1:10:00 PM,2010,Other,0,24,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,USA,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,\N,\N
7571,7603,Valuation in Financial Markets,HP,Late Week,7793,10:00:00 AM,11:25:00 AM,2010,Other,0,24,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,USA,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,\N,\N
8097,7600,Data Analysis and Optimization,SP,FY Elective,7759,11:45:00 AM,1:10:00 PM,2011,Business Administration,0,23,0,0,0,0,0,0,1,0,2,0,0,0,1,1,USA,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
8097,7602,Global Financial Markets,HP,FY Elective,7742,10:00:00 AM,11:25:00 AM,2011,Business Administration,0,23,0,0,0,0,0,0,1,0,2,0,0,0,1,1,USA,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
8097,7603,Valuation in Financial Markets,HP,Late Week,7792,8:00:00 AM,9:25:00 AM,2011,Business Administration,0,23,0,0,0,0,0,0,1,0,2,0,0,0,1,1,USA,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
8097,7620,Interpersonal Communications,SP,Late Week,7917,10:00:00 AM,11:25:00 AM,2011,Business Administration,0,23,0,0,0,0,0,0,1,0,2,0,0,0,1,1,USA,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
6742,7600,Data Analysis and Optimization,HP,FY Elective,7758,8:00:00 AM,9:25:00 AM,2010,Computer Science,0,25,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,USA,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
